Player,TEAM,AGE,GP,MIN,FGA,FTA,FGM3,FGA3,PTS,BLK,STL,AST,TOV,REB.Chances,Opp.FGA.at.Rim,Opp.FGPer.at.Rim,RAFGA,Passes.Made.per.Game,Touches.per.Game,AO,SecondAST,FTAst,AST.PTS.Created,Drive.PTS,Catch.Shoot.PTS,Pull.Up.PTS,Paint.Touch.PTS,Post.Touch.PTS,Elbow.Touch.PTS
Terrence Jones,HOU,24,46,22.1,7.8,2.5,0.5,1.7,9.2,0.8,0.5,0.9,1,8.8,4.6,51.2,4.2,25,35.6,1.7,0.3,0.1,2.3,1.3,1.6,0.3,1.9,2.1,0.5
Terrence Ross,TOR,25,49,23.8,7.7,0.7,1.7,4.4,9.1,0.4,0.8,0.7,0.7,4.2,1.4,43.5,0.8,14.6,23.9,1.9,0.2,0.1,1.9,0.5,5.1,2.1,0.2,0.2,0.5
Terry Rozier,BOS,21,20,5.6,2.5,0.2,0.1,0.7,1.5,0,0,0.7,0.5,2.2,0.3,66.7,1,10.4,14.3,1.7,0.2,0.1,1.6,0.4,0.2,0.5,0,0,0.1
Thabo Sefolosha,ATL,31,52,23.9,5.3,1.3,0.5,1.7,6.8,0.5,1.2,1.4,0.9,8.9,2,53.4,2.4,29.2,37.5,2.8,0.5,0.2,3.5,0.9,1.8,0.6,1.3,1.3,0.4
Thaddeus Young,BKN,27,57,32.8,13.1,2.4,0.1,0.4,14.9,0.4,1.5,1.8,1.9,16.2,5,55.1,6.8,45.8,63.3,3.4,0.5,0.1,4.2,2.2,1.1,1.1,3.5,4.1,1.3
Thanasis Antetokounmpo,NYK,23,2,3.1,2,0,0,0.5,3,0,0,0,0,1,0,0,1.5,1.5,3.5,0,0,0,0,2,0,0,1,1,0
Thomas Robinson,BKN,24,51,10.3,3.2,1,0,0,3.3,0.6,0.4,0.3,0.7,8.2,3.3,45.2,2.1,13.5,18.3,0.6,0.1,0,0.6,0.2,0.1,0.1,1.3,1.3,0.2
Tiago Splitter,ATL,31,36,16.1,4.3,1.3,0,0.1,5.6,0.3,0.6,0.8,0.7,7.9,4.3,47.4,3.6,16.4,22.6,1.6,0.3,0.1,1.9,0,0.1,0.1,3.2,3.6,0.2
Tibor Pleiss,UTA,26,12,6.8,2.1,0.2,0,0.2,2,0.2,0.1,0.2,0.7,2.8,1.7,65,1.3,9.1,11.8,0.8,0.2,0,0.4,0,0.7,0,0.7,0.8,0
Tim Duncan,SAS,39,41,25.4,7.2,2.2,0,0,8.6,1.4,0.9,2.9,1.6,13.1,7,45.8,3,34.5,46,4.6,0.4,0.1,6.3,0.3,0.7,0.6,3.7,4.4,1.1
Tim Frazier,POR,25,35,7.8,1.7,0.4,0.1,0.5,1.5,0,0.3,1.2,0.8,2.3,0.3,66.7,0.7,15,19,2.9,0.3,0.2,2.9,0.3,0.1,0.4,0.1,0.2,0
Tim Hardaway Jr.,ATL,23,27,15.1,4.1,0.8,0.5,2.1,4.4,0.1,0.4,1,0.4,2.8,0.7,45,1,12.1,17.4,2,0.3,0.1,2.6,0.9,1.3,0.6,0.1,0.1,0
Timofey Mozgov,CLE,29,52,17.7,5,1.3,0,0.1,6.4,0.8,0.3,0.4,0.9,9.3,5.1,46.6,3.4,18.7,25.5,1.2,0.2,0.1,1.1,0.1,0.9,0,3.8,3.9,0.3
Tobias Harris,DET,23,52,32.9,11.2,3.1,1,3.2,13.8,0.6,1,2,1.6,12.1,3.2,48.5,5.1,36.6,51.8,4.4,0.7,0.1,4.8,2.4,3.1,1.1,1.6,2.1,0.7
Toney Douglas,NOP,29,35,15.8,5.1,1.1,1,2.5,5.9,0.1,1.1,1.8,0.6,3.1,0.9,54.5,1.3,20.9,28.1,3.5,0.3,0.1,4.2,1.1,1.7,1.6,0.3,0.3,0.1
Tony Allen,MEM,34,47,24.5,6.2,1.8,0.2,0.6,6.7,0.3,1.6,0.9,1,8.6,1.6,57.5,4.1,19,27.5,1.9,0.2,0.1,2.1,1.1,1.2,0.2,0.8,1,0.3
Tony Parker,SAS,33,51,26.9,10.1,2.4,0.4,0.8,12.5,0.1,0.8,5.1,1.7,4.1,1,66,3.8,53.2,68.5,10.3,1.6,0.2,11.2,4.9,1.3,3.7,0.5,0.5,0.4
Tony Snell,CHI,24,53,20.5,5.3,0.5,0.9,2.5,5.3,0.3,0.3,0.9,0.8,5.4,2,56.5,1.5,13.5,20.5,2,0.3,0.1,1.9,0.9,2.3,1.1,0.3,0.2,0.1
Tony Wroten,PHI,22,8,18,8.1,4.6,0.4,2.1,8.4,0,0.4,2.5,3.6,4.6,0.5,75,5.1,34.9,50.8,5.5,0.3,0.5,6.3,4.4,1.1,0.3,0.3,0,0.8
Trevor Ariza,HOU,30,56,34.8,10.5,2,2.3,6.1,12.6,0.3,2,2,1.4,9,2.2,52.8,2.9,38.5,52.6,4.6,0.7,0.3,5,1.7,6,1.5,0.5,0.6,0.1
Trevor Booker,UTA,28,54,22.1,5.1,1.3,0.1,0.5,5.7,0.5,0.9,1,1.2,12.2,2.9,54.8,3.7,38.9,46.6,3,0.2,0.1,2.7,0.3,0.5,0,1,1.4,0.6
